report date,Number recovered,Number of deaths,Cumulative number of cases,currently infected,time,population,random graph probability,susceptible,theta,alpha,gamma,country,R0,beta,delta,epsilon,theta fitted,recovered fitted,death fitted,susceptible fitted,infected fitted,graph type
2003-04-22,65.0,13.0,139.0,61.0,12,31209673.0,3.845380456334503e-06,31209534.0,0.9999999628893954,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999748142062,22,16,31209579,56,poisson
2003-04-23,65.0,13.0,140.0,62.0,13,31209956.0,3.845380456334503e-06,31209816.0,0.99999996262309,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999748718921,22,17,31209862,55,poisson
2003-04-24,67.0,15.0,140.0,58.0,14,31210239.0,3.845380456334503e-06,31210099.0,0.9999999626237676,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999749313836,22,17,31210145,55,poisson
2003-04-25,74.0,15.0,140.0,51.0,15,31210522.0,3.845380456334503e-06,31210382.0,0.9999999626244456,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999749884754,22,18,31210428,54,poisson
2003-04-26,77.0,18.0,142.0,47.0,16,31210805.0,3.845380456334503e-06,31210663.0,0.9999999620911952,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999750476888,22,18,31210712,53,poisson
2003-04-28,77.0,18.0,142.0,47.0,18,31211372.0,3.845380456334503e-06,31211230.0,0.9999999620925726,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999751604824,22,19,31211279,52,poisson
2003-04-29,86.0,20.0,146.0,40.0,19,31211655.0,3.845380456334503e-06,31211509.0,0.999999961025462,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999752192849,22,19,31211562,52,poisson
2003-04-30,87.0,20.0,148.0,41.0,20,31211938.0,3.845380456334503e-06,31211790.0,0.9999999604922796,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999752749856,22,20,31211845,51,poisson
2003-05-01,87.0,20.0,147.0,40.0,21,31212221.0,3.845380456334503e-06,31212074.0,0.9999999607599356,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999753335144,22,20,31212129,50,poisson
2003-05-02,93.0,22.0,149.0,34.0,22,31212504.0,3.845380456334503e-06,31212355.0,0.9999999602267772,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.99999997538864,22,20,31212412,50,poisson
2003-05-03,94.0,22.0,149.0,33.0,23,31212787.0,3.845380456334503e-06,31212638.0,0.9999999602274984,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999754435016,22,20,31212695,49,poisson
2003-05-05,93.0,22.0,148.0,33.0,25,31213354.0,3.845380456334503e-06,31213206.0,0.999999960495864,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999755524434,22,21,31213262,49,poisson
2003-05-06,93.0,22.0,148.0,33.0,26,31213637.0,3.845380456334503e-06,31213489.0,0.9999999604965802,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999756103092,22,21,31213546,48,poisson
2003-05-07,93.0,22.0,146.0,31.0,27,31213920.0,3.845380456334503e-06,31213774.0,0.999999961031118,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999756680368,22,22,31213829,48,poisson
2003-05-08,95.0,22.0,146.0,29.0,28,31214203.0,3.845380456334503e-06,31214057.0,0.9999999610318248,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999757215938,22,22,31214112,47,poisson
2003-05-09,94.0,22.0,145.0,29.0,29,31214486.0,3.845380456334503e-06,31214341.0,0.9999999612994324,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999757749072,22,22,31214395,47,poisson
2003-05-10,97.0,22.0,145.0,26.0,30,31214769.0,3.845380456334503e-06,31214624.0,0.999999961300134,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999758279446,22,22,31214678,46,poisson
2003-05-12,98.0,22.0,143.0,23.0,32,31215336.0,3.845380456334503e-06,31215193.0,0.9999999618353131,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999759331891,22,23,31215246,46,poisson
2003-05-13,99.0,22.0,143.0,22.0,33,31215619.0,3.845380456334503e-06,31215476.0,0.9999999618360051,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.999999975990145,22,23,31215529,45,poisson
